date,dollar_volume_b,top3_share_pct,rise_pct,vix
2024-05-16,9.559893803052521,43.533160364716,47.524752475247524,12.420000076293945
2024-05-17,8.16307917613144,45.06148442435137,58.415841584158414,11.989999771118164
2024-05-20,6.347992823269272,49.83263268969578,35.64356435643564,12.149999618530273
2024-05-21,6.547211160615158,49.123479882532116,50.495049504950494,11.859999656677246
2024-05-22,9.418933746217347,47.71523678079466,40.5940594059406,12.289999961853027
2024-05-23,9.482457126313019,47.391821482467954,5.9405940594059405,12.770000457763672
2024-05-24,6.118953980718994,45.55216761464867,61.386138613861384,11.930000305175781
2024-05-28,8.179023702984237,46.51900566448746,33.663366336633665,12.920000076293945
2024-05-29,9.912791387097167,50.92274226327531,11.881188118811881,14.279999732971191
2024-05-30,7.8408980072692875,44.493647391478234,67.32673267326733,14.470000267028809
2024-05-31,10.133107403839874,43.36360026403735,88.11881188118812,12.920000076293945
2024-06-03,12.01106554980774,43.936082690793775,38.613861386138616,13.109999656677246
2024-06-04,8.64615355058403,45.35336536499026,58.415841584158414,13.15999984741211
2024-06-05,7.316005151909256,40.973228644542445,63.366336633663366,12.630000114440918
2024-06-06,7.527854934194183,47.3103044692804,50.495049504950494,12.579999923706055
2024-06-07,7.390695131378555,47.60276659413543,47.524752475247524,12.220000267028809
2024-06-10,7.153431846009827,43.943616355054615,54.45544554455446,12.739999771118164
2024-06-11,9.473743301452636,52.76237952595706,30.693069306930692,12.850000381469727
2024-06-12,11.367724155166625,47.11787156455194,42.57425742574257,12.039999961853027
2024-06-13,8.734604326306915,49.390735877939285,37.62376237623762,11.9399995803833
2024-06-14,8.127148702545929,51.35812300635243,37.62376237623762,12.65999984741211
2024-06-17,9.213501015906143,47.258279245342244,71.28712871287128,12.75
2024-06-18,8.14029042072258,48.03634552634395,63.366336633663366,12.300000190734863
2024-06-20,9.483924238697051,50.9454231601985,63.366336633663366,13.279999732971191
2024-06-21,10.599970903689194,48.115253457254845,60.396039603960396,13.199999809265137
2024-06-24,9.596181673361206,50.37880767412134,69.3069306930693,13.329999923706055
2024-06-25,8.689545461262894,46.12739003518952,27.722772277227726,12.84000015258789
2024-06-26,7.486417711238861,49.095625541992156,37.62376237623762,12.550000190734863
